frame,cpu_ms,gpu_ms
484,1.0866,5.6795
485,1.1029,5.4909
486,1.2964,5.3596
487,1.1760,4.7976
488,1.1319,5.0753
489,1.1932,5.0464
490,1.2290,5.1165
491,0.9096,5.1984
492,1.0868,5.6351
493,1.6578,4.8071
494,0.8793,4.9717
495,0.8280,5.0805
496,0.8856,4.7843
497,0.9406,5.0501
498,1.1580,4.9755
499,1.0981,4.9552
500,0.8568,5.0766
501,1.2137,5.6466
502,1.0015,5.0833
503,1.0702,5.1500
504,1.1978,5.2820
505,0.8724,4.9709
506,0.9959,5.0419
507,0.8943,4.8825
508,1.2010,4.7841
509,1.5703,5.2522
510,0.7735,6.8895
511,0.8931,5.0501
512,1.1966,6.4187
513,0.9751,6.6873
514,1.0326,5.0479
515,1.7872,6.1761
516,1.2345,6.4626
517,0.8277,6.1407
518,1.8891,5.6636
519,1.2003,6.7671
520,1.0061,5.4531
521,1.1386,6.6790
522,1.1416,7.2954
523,1.1005,5.8463
524,1.1621,5.8973
525,0.9270,6.1801
526,0.9518,6.2511
527,1.4425,5.5674
528,1.0297,5.1769
