frame,cpu_grayscale_ms,cpu_blur_ms,cpu_equalize_ms,cpu_morphology_ms,cpu_canny_ms,cpu_total_ms,gpu_grayscale_ms,gpu_blur_ms,gpu_equalize_ms,gpu_morphology_ms,gpu_canny_ms,gpu_total_ms,speedup
672,0.1254,0.1774,0.7186,0.6529,1.3891,3.0635,0.1210,0.0951,0.2132,6.7077,0.4234,8.2007,0.3736
673,0.1719,0.3267,2.9859,0.6630,1.3144,5.4619,0.1101,0.0949,0.1883,6.6128,0.2989,7.9742,0.6849
674,0.2420,0.3978,0.8552,0.6613,1.3731,3.5295,0.1044,0.0873,0.1806,6.4136,0.4182,7.7894,0.4531
675,0.0809,0.0730,0.1276,0.1083,0.2210,0.6106,0.0301,0.0201,0.0864,3.8284,0.1498,4.2820,0.1426
676,0.0855,0.1243,0.3573,0.2255,2.3421,3.1347,0.0958,0.0842,0.1769,5.1328,0.1891,6.1929,0.5062
677,0.4401,0.3397,0.7681,0.6539,1.1390,3.3408,0.1123,0.0956,0.1860,6.2149,0.2453,7.4548,0.4481
678,0.4984,0.3183,0.8751,0.6310,1.1163,3.4392,0.1098,0.0932,0.1857,6.3853,0.3309,7.7594,0.4432
679,0.4761,0.3198,0.8045,0.6586,1.4271,3.6861,0.1021,0.0825,0.1917,6.2154,0.2500,7.3934,0.4986
680,0.1863,0.4015,0.8937,0.6467,1.5293,3.6574,0.1146,0.1125,0.1911,6.2246,0.2467,7.4949,0.4880
681,0.4908,0.3270,0.8937,0.6505,1.2999,3.6619,0.1185,0.0981,0.2126,6.4412,0.2844,7.8059,0.4691
682,0.2883,0.3306,1.0997,0.6383,1.3394,3.6963,0.1034,0.0882,0.1921,6.2753,0.3312,7.6004,0.4863
683,0.4500,0.3866,0.9204,0.6453,1.5033,3.9056,0.1132,0.0933,0.2081,6.2023,0.2472,7.4617,0.5234
684,0.5096,0.3422,0.8703,0.6587,1.2639,3.6447,0.1176,0.0926,0.2089,6.7814,0.3721,8.1420,0.4476
685,0.5590,0.3998,0.9200,0.6437,1.7427,4.2651,0.0982,0.0840,0.1734,6.1310,0.2495,7.2682,0.5868
686,0.6044,0.4126,0.9672,0.6806,1.4264,4.0911,0.1068,0.0866,0.1865,6.6675,0.2365,7.8330,0.5223
687,0.4141,0.3488,0.8022,0.6417,1.3019,3.5088,0.1000,0.0849,0.1712,6.3206,0.3078,7.5589,0.4642
688,0.4964,0.5571,0.8581,0.6404,1.2416,3.7937,0.1066,0.0881,0.2021,6.2568,0.2836,7.5185,0.5046
689,0.4520,0.4183,1.4858,0.6879,1.2165,4.2605,0.1127,0.0911,0.1828,6.1967,0.2708,7.4757,0.5699
690,0.4843,0.3621,4.0791,0.6696,1.3792,6.9743,0.1121,0.0939,0.2107,5.9683,0.2032,7.1528,0.9750
